Intercept,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age
-0.7977991339760073,0.43175232243256423,0.9429244728687179,-0.23323190784845776,-0.008320995423365701,-0.01591444641050404,0.8502800074623178,0.2691034291363894,0.20684356102266116
-0.7263921365232937,0.22832496552064857,0.9961909560937255,0.004852778726468429,-0.12712105622296835,-0.1617497925799916,0.8135902593656215,0.35451250169717236,0.30916413675501425
-0.9879080189140556,0.44022504682005603,1.0214826246511521,-0.3068725022271589,0.07741021813714262,-0.1390903199686923,0.7938102726230365,0.30522234814081906,0.2726780287740146
-0.7664296231731399,0.30044893005728024,1.1214198786705618,-0.011095796625814981,-0.08596352542238814,-0.19547981920750024,0.7824615962416391,0.10922288302891073,0.1962863938607688
-0.7664296231731399,0.30044893005728024,1.1214198786705618,-0.011095796625814981,-0.08596352542238814,-0.19547981920750024,0.7824615962416391,0.10922288302891073,0.1962863938607688
-0.7664296231731399,0.30044893005728024,1.1214198786705618,-0.011095796625814981,-0.08596352542238814,-0.19547981920750024,0.7824615962416391,0.10922288302891073,0.1962863938607688
-0.7664296231731399,0.30044893005728024,1.1214198786705618,-0.011095796625814981,-0.08596352542238814,-0.19547981920750024,0.7824615962416391,0.10922288302891073,0.1962863938607688
-1.0219529617425014,0.41246942572389816,1.1123720923156573,-0.2136272325025676,0.0788638502098838,-0.11995782661771592,0.8716944797726142,0.3586194832746362,0.32388579351027746
-0.9377645733463982,0.310871307305457,1.1640171005860247,-0.10743576301837142,-0.06052655301348156,-0.28239656626672316,0.6773307435623886,0.22520864837631033,0.3284318092132076
-0.9377645733463982,0.310871307305457,1.1640171005860247,-0.10743576301837142,-0.06052655301348156,-0.28239656626672316,0.6773307435623886,0.22520864837631033,0.3284318092132076
-0.9377645733463982,0.310871307305457,1.1640171005860247,-0.10743576301837142,-0.06052655301348156,-0.28239656626672316,0.6773307435623886,0.22520864837631033,0.3284318092132076
-0.8246923582418191,0.3793081947918972,1.0472291929867457,-0.1788800092182537,0.04692784254787796,-0.09594065697027535,0.791666785347772,0.2589082913383731,0.12918973138718776
-0.9312956072750869,0.4504488139378972,1.083555172776933,-0.020299311391046616,-0.04322984029245006,-0.17183968294193924,0.6967953946847804,0.28202939645301395,0.27251474337275505
-0.9090038785961053,0.4272694072540309,1.0250403517826374,-0.1347237991083195,0.06361797686163534,-0.09438266295564252,0.7043451341228556,0.47528960460348724,0.03345556936518071
-0.901292012367308,0.31601697096067227,1.19039529602669,-0.011322552356443485,0.1303841810328386,-0.17491576711676435,0.6204225551236244,0.20471116730190325,0.19705356825848322
-0.901292012367308,0.31601697096067227,1.19039529602669,-0.011322552356443485,0.1303841810328386,-0.17491576711676435,0.6204225551236244,0.20471116730190325,0.19705356825848322
-0.901292012367308,0.31601697096067227,1.19039529602669,-0.011322552356443485,0.1303841810328386,-0.17491576711676435,0.6204225551236244,0.20471116730190325,0.19705356825848322
